NAMA,MQ135,MQ2,MQ3,MQ6
aKaw-D,5093,177,4639,48
aKaw-D,5590,348,5616,172
aKaw-D,4309,134,4212,12
aKaw-D,4335,134,4223,14
aKaw-L,3494,137,5570,132
aKaw-L,3636,155,5511,138
aKaw-L,3607,154,5493,137
aKaw-L,3579,153,5475,135
aKaw-L,3510,142,5439,125
aKaw-L,3482,141,5421,124
aKaw-L,3455,140,5404,122
aKaw-L,3438,139,5401,122
aKaw-L,3411,138,5385,121
aKaw-L,3957,158,6658,236
aKaw-L,3926,157,6640,236
aKaw-L,3897,156,6624,235
aKaw-L,3878,155,6623,236
aKaw-L,3849,154,6606,235
aKaw-L,4107,181,6734,171
aKaw-L,4073,179,6715,170
aKaw-L,4041,178,6698,168
aKaw-L,4008,177,6678,168
aKaw-L,3977,175,6660,166
aKaw-L,3637,157,6047,133
aKaw-L,3663,157,5528,139
aKaw-L,3604,156,6027,131
aKaw-L,3693,158,5545,140
aKaw-L,3793,174,5633,152
aKaw-L,3476,136,5566,132
aKaw-L,4617,239,6695,307
aKaw-L,4586,237,6682,307
aKaw-L,4556,235,6670,306
aKaw-L,4536,233,6672,306
aKaw-L,4506,232,6659,305
aKaw-L,4302,237,6359,194
aKaw-L,4282,235,6361,193
aKaw-L,4250,233,6347,191
aKaw-L,4217,231,6331,190
aKaw-L,4186,229,6317,188
aKaw-L,4058,203,5837,172
aKaw-L,4027,202,5821,171
aKaw-L,3997,200,5805,169
aKaw-L,3965,198,5787,168
aKaw-L,3936,197,5771,166
aKaw-L,3870,178,5669,155
aKaw-L,3840,177,5652,154
aKaw-L,3811,175,5635,152
aKaw-L,3765,173,5617,150
aKaw-L,3448,135,5547,130
aKaw-L,3521,138,5588,134
aKaw-L,3542,153,5989,128
aKaw-L,4443,231,6919,230
aKaw-L,4410,229,6904,229
aKaw-L,4379,227,6889,227
aKaw-L,4117,201,6128,187
aKaw-L,4084,199,6111,185
aKaw-L,4053,197,6095,183
aKaw-L,4033,196,6094,183
aKaw-L,4002,195,6077,181
aKaw-L,3918,176,5901,165
aKaw-L,3886,175,5882,163
aKaw-L,3857,173,5866,162
aKaw-L,3825,172,5846,161
aKaw-L,3796,171,5830,159
aKaw-L,3710,154,5714,146
aKaw-L,3691,153,5711,145
aKaw-L,3661,152,5693,143
aKaw-L,3631,150,5674,142
aKaw-L,3602,149,5656,140
aKaw-L,3553,139,5608,135
aKaw-L,4474,233,6934,232
aKaw-L,3573,155,6008,130
aKaw-L,4495,234,6933,233
aKaw-L,4680,213,7523,317
aKaw-L,3511,152,5969,126
aKaw-L,3544,144,5835,125
aKaw-L,3513,142,5815,124
aKaw-L,3483,141,5796,122
aKaw-L,3452,140,5776,121
aKaw-L,3422,139,5757,120
aKaw-L,3391,132,5694,117
aKaw-L,3361,131,5675,117
aKaw-L,3332,129,5656,115
aKaw-L,3302,128,5636,114
aKaw-L,3275,127,5617,112
aKaw-L,3298,124,5565,112
aKaw-L,3268,123,5545,111
aKaw-L,3241,122,5528,109
aKaw-L,3222,121,5523,109
aKaw-L,3195,120,5504,107
aKaw-L,4752,218,7546,318
aKaw-L,4724,216,7533,318
aKaw-L,4697,215,7521,317
aKaw-L,4653,212,7510,316
aKaw-M,7489,787,7699,830
aKaw-M,7474,783,7712,830
aKaw-M,5345,376,5710,303
aKaw-M,6320,535,8125,862
aKaw-M,6357,538,8133,864
aKaw-M,6380,541,8123,864
aKaw-M,6417,544,8130,866
aKaw-M,6454,547,8139,867
aKaw-M,5327,373,5573,330
aKaw-M,5363,376,5584,332
aKaw-M,5400,379,5595,333
aKaw-M,6360,603,6747,552
aKaw-M,5436,381,5605,335
aKaw-M,5331,395,5367,346
aKaw-M,5366,398,5376,349
aKaw-M,5404,401,5388,350
aKaw-M,5438,404,5398,352
aKaw-M,5475,407,5408,354
aKaw-M,4731,405,3958,306
aKaw-M,4768,408,3971,309
aKaw-M,4804,412,3982,311
aKaw-M,5460,383,5597,335
aKaw-M,4840,415,3993,314
aKaw-M,6323,599,6739,551
aKaw-M,6264,591,6740,549
aKaw-M,5454,384,5742,306
aKaw-M,5494,387,5755,306
aKaw-M,5599,419,5719,343
aKaw-M,5636,422,5728,344
aKaw-M,5675,426,5740,345
aKaw-M,5712,428,5748,346
aKaw-M,5751,431,5759,347
aKaw-M,5803,465,5723,393
aKaw-M,6286,595,6731,549
aKaw-M,5839,468,5733,394
aKaw-M,5915,475,5754,397
aKaw-M,5940,478,5746,396
aKaw-M,6008,524,5876,461
aKaw-M,6044,527,5886,462
aKaw-M,6081,531,5896,463
aKaw-M,6118,535,5905,464
aKaw-M,6141,538,5896,464
aKaw-M,6228,588,6733,548
aKaw-M,5878,472,5745,395
aKaw-M,4877,419,4005,317
aKaw-M,5314,739,3250,846
aKaw-M,5330,744,3254,847
aKaw-M,6211,573,4669,428
aKaw-M,6248,577,4677,431
aKaw-M,6286,582,4686,433
aKaw-M,6322,586,4693,435
aKaw-M,6361,590,4702,437
aKaw-M,6370,646,4832,490
aKaw-M,6404,651,4838,493
aKaw-M,6441,656,4847,496
aKaw-M,6180,527,4717,385
aKaw-M,6476,661,4855,499
aKaw-M,6433,709,5433,549
aKaw-M,6466,714,5439,552
aKaw-M,6501,720,5446,555
aKaw-M,6533,725,5452,558
aKaw-M,6549,730,5439,559
aKaw-M,7398,770,7718,823
aKaw-M,7429,775,7722,826
aKaw-M,7444,779,7709,827
aKaw-M,6498,666,4845,500
aKaw-M,6140,523,4707,383
aKaw-M,6102,519,4700,380
aKaw-M,6064,515,4690,378
aKaw-M,5348,748,3260,848
aKaw-M,5362,753,3263,849
aKaw-M,5377,757,3267,849
aKaw-M,5721,870,4166,1057
aKaw-M,5735,874,4169,1058
aKaw-M,5751,879,4174,1058
aKaw-M,5763,883,4177,1057
aKaw-M,5778,888,4182,1057
aKaw-M,9536,1059,9338,1868
aKaw-M,9545,1061,9336,1864
aKaw-M,9555,1064,9337,1860
aKaw-M,9562,1067,9334,1855
aKaw-M,9572,1070,9335,1849
aKaw-M,5839,462,4754,328
aKaw-M,5877,465,4763,331
aKaw-M,5918,469,4773,333
aKaw-M,5957,473,4781,335
aKaw-M,5998,476,4791,337
aKaw-M,6027,511,4683,376
aKaw-M,5417,382,5734,305
aKaw-M,5380,379,5721,304
aSem-D,4716,319,2970,232
aSem-D,5140,274,5249,97
aSem-D,4584,239,3855,117
aSem-D,4558,237,3847,116
aSem-D,4531,236,3837,115
aSem-D,4505,235,3828,114
aSem-D,6031,302,5612,299
aSem-D,6013,300,5621,299
aSem-D,5982,299,5614,298
aSem-D,5949,297,5604,297
aSem-D,4611,240,3865,117
aSem-D,5918,296,5596,296
aSem-D,5818,343,5339,185
aSem-D,5784,341,5329,184
aSem-D,5749,339,5318,183
aSem-D,5716,336,5309,181
aSem-D,5527,322,4935,161
aSem-D,5493,319,4924,161
aSem-D,5461,318,4915,159
aSem-D,5428,315,4903,158
aSem-D,5851,345,5349,186
aSem-D,4546,248,3684,125
aSem-D,4572,249,3692,126
aSem-D,4586,250,3683,126
aSem-D,4691,316,2963,230
aSem-D,4666,313,2956,228
aSem-D,4684,310,3063,196
aSem-D,4659,308,3055,195
aSem-D,4636,306,3049,194
aSem-D,4624,304,3059,193
aSem-D,4600,302,3052,192
aSem-D,4667,287,3262,161
aSem-D,4655,286,3272,161
aSem-D,4630,284,3265,159
aSem-D,4604,282,3255,158
aSem-D,4580,280,3247,156
aSem-D,4686,271,3515,144
aSem-D,4673,270,3524,144
aSem-D,4648,269,3516,142
aSem-D,4622,267,3506,142
aSem-D,4599,265,3499,141
aSem-D,4638,253,3701,128
aSem-D,4611,252,3692,127
aSem-D,4750,324,2963,235
aSem-D,4740,322,2975,234
aSem-D,5388,302,4902,145
aSem-D,5339,298,4900,144
aSem-D,5631,343,5552,123
aSem-D,5595,341,5543,120
aSem-D,5571,338,5550,120
aSem-D,5535,336,5539,118
aSem-D,5804,331,5434,149
aSem-D,5767,329,5423,148
aSem-D,5733,326,5414,146
aSem-D,5697,324,5403,146
aSem-D,5668,346,5565,123
aSem-D,5662,322,5392,144
aSem-D,5572,304,5324,143
aSem-D,5539,303,5315,142
aSem-D,5503,300,5303,141
aSem-D,5470,298,5293,140
aSem-D,5263,281,5274,101
aSem-D,5241,279,5281,101
aSem-D,5208,277,5272,100
aSem-D,5174,276,5260,99
aSem-D,5608,306,5335,144
aSem-D,6179,366,6120,183
aSem-D,6215,368,6130,184
aSem-D,6254,371,6142,185
aSem-D,5306,296,4888,143
aSem-D,5276,294,4876,143
aSem-D,5120,278,4918,112
aSem-D,5087,276,4906,112
aSem-D,5056,274,4896,110
aSem-D,5023,272,4884,109
aSem-D,4992,270,4874,107
aSem-D,5099,266,4943,122
aSem-D,5066,264,4931,121
aSem-D,5035,262,4921,120
aSem-D,5014,261,4926,119
aSem-D,4983,259,4915,118
aSem-D,6119,302,6336,287
aSem-D,6084,301,6327,287
aSem-D,6050,299,6318,286
aSem-D,6013,298,6308,285
aSem-D,5978,296,6299,285
aSem-D,6327,375,6162,187
aSem-D,6290,373,6151,187
aSem-D,5369,300,4908,145
aSem-D,5396,313,4893,156
aSem-L,3141,170,3969,275
aSem-L,3376,144,4854,177
aSem-L,4465,195,6418,406
aSem-L,4491,196,6432,408
aSem-L,4505,198,6433,409
aSem-L,4529,199,6446,410
aSem-L,4540,200,6441,410
aSem-L,3176,121,5292,136
aSem-L,3203,123,5314,138
aSem-L,3232,124,5338,139
aSem-L,3402,146,4871,181
aSem-L,3259,125,5360,141
aSem-L,3320,132,5461,146
aSem-L,3348,133,5482,148
aSem-L,3378,134,5506,150
aSem-L,3407,136,5529,152
aSem-L,3437,137,5552,154
aSem-L,3534,147,5665,167
aSem-L,3563,148,5687,170
aSem-L,3593,149,5711,171
aSem-L,3288,126,5384,143
aSem-L,4486,246,6495,345
aSem-L,4460,244,6482,342
aSem-L,4444,243,6480,341
aSem-L,3348,143,4835,176
aSem-L,3322,141,4817,173
aSem-L,3418,146,4875,181
aSem-L,3490,157,4942,196
aSem-L,3518,159,4958,199
aSem-L,3546,160,4980,201
aSem-L,3573,162,4997,204
aSem-L,3602,164,5017,206
aSem-L,3726,181,5130,232
aSem-L,3754,182,5149,235
aSem-L,3784,184,5168,238
aSem-L,3812,186,5185,241
aSem-L,3829,187,5187,242
aSem-L,3954,209,5474,271
aSem-L,3982,210,5492,274
aSem-L,4013,213,5510,277
aSem-L,4041,214,5526,279
aSem-L,4071,216,5544,282
aSem-L,4416,240,6464,338
aSem-L,3622,150,5734,173
aSem-L,3653,152,5758,175
aSem-L,4514,248,6512,347
aSem-L,3750,163,5944,186
aSem-L,3582,171,5013,205
aSem-L,3606,172,5032,208
aSem-L,3620,174,5036,209
aSem-L,3644,175,5055,211
aSem-L,3671,176,5074,212
aSem-L,3817,200,5207,244
aSem-L,3842,202,5224,246
aSem-L,3892,205,5261,250
aSem-L,3907,206,5263,251
aSem-L,3982,229,5497,269
aSem-L,4007,230,5512,272
aSem-L,4021,232,5514,273
aSem-L,4046,233,5529,276
aSem-L,4059,234,5529,276
aSem-L,3070,165,3938,262
aSem-L,3093,167,3953,266
aSem-L,3106,168,3953,269
aSem-L,3720,162,5921,183
aSem-L,3129,169,3968,273
aSem-L,3453,154,4986,184
aSem-L,3427,153,4966,183
aSem-L,3868,204,5244,248
aSem-L,3378,150,4925,179
aSem-L,3781,164,5968,187
aSem-L,3403,152,4947,181
aSem-L,3843,167,6012,192
aSem-L,3982,181,6400,209
aSem-L,4012,183,6422,211
aSem-L,4044,184,6446,212
aSem-L,4075,186,6467,215
aSem-L,4108,187,6490,216
aSem-L,4094,190,7350,225
aSem-L,4124,191,7371,227
aSem-L,3811,166,5989,190
aSem-L,4187,194,7414,231
aSem-L,4156,193,7394,229
aSem-L,3354,149,4905,177
aSem-L,3266,138,4944,163
aSem-L,3242,137,4924,161
aSem-L,3281,139,4950,164
aSem-L,3191,135,4881,157
aSem-L,4219,196,7437,232
aSem-L,3215,136,4902,159
aSem-M,5980,416,6145,322
aSem-M,8303,691,10193,784
aSem-M,5941,414,6136,322
aSem-M,5904,411,6130,321
aSem-M,5878,409,6137,321
aSem-M,5841,406,6130,320
aSem-M,6073,442,6121,347
aSem-M,8346,695,10200,784
aSem-M,8263,687,10187,784
aSem-M,7049,632,6750,508
aSem-M,8178,678,10174,782
aSem-M,7095,636,6759,510
aSem-M,7006,627,6742,505
aSem-M,6961,622,6732,504
aSem-M,6917,617,6723,501
aSem-M,6877,585,6240,454
aSem-M,6832,580,6230,452
aSem-M,6097,444,6127,348
aSem-M,8220,682,10180,783
aSem-M,6108,445,6116,347
aSem-M,7323,544,9366,700
aSem-M,6152,450,6127,347
aSem-M,7344,546,9354,699
aSem-M,7289,541,9361,700
aSem-M,7253,539,9354,700
aSem-M,7219,537,9349,699
aSem-M,6995,601,7538,538
aSem-M,6958,597,7529,537
aSem-M,6922,594,7523,537
aSem-M,6885,591,7515,536
aSem-M,6850,587,7508,535
aSem-M,6766,561,6650,472
aSem-M,6728,558,6641,472
aSem-M,6692,554,6635,471
aSem-M,6654,551,6625,470
aSem-M,6618,547,6619,469
aSem-M,6461,507,6330,408
aSem-M,6423,503,6321,408
aSem-M,6386,500,6314,407
aSem-M,6361,497,6322,407
aSem-M,6325,494,6315,405
aSem-M,6130,448,6121,347
aSem-M,6746,571,6212,448
aSem-M,6790,576,6222,450
aSem-M,6566,533,5985,401
aSem-M,6658,628,5947,513
aSem-M,6618,624,5937,511
aSem-M,6579,619,5929,509
aSem-M,6538,614,5918,507
aSem-M,6501,609,5909,504
aSem-M,6255,539,5786,416
aSem-M,6213,534,5775,415
aSem-M,6175,530,5766,412
aSem-M,6134,526,5754,410
aSem-M,6096,522,5744,408
aSem-M,5873,464,5759,353
aSem-M,5846,461,5765,352
aSem-M,5808,457,5756,350
aSem-M,5769,453,5744,349
aSem-M,5731,450,5733,346
aSem-M,5590,411,5833,303
aSem-M,5512,405,5810,299
aSem-M,5472,402,5797,298
aSem-M,5435,399,5786,295
aSem-M,7025,728,6554,617
aSem-M,7063,734,6562,619
aSem-M,7088,739,6553,621
aSem-M,7125,744,6560,623
aSem-M,6522,529,5976,399
aSem-M,6480,525,5967,397
aSem-M,6450,521,5975,396
aSem-M,6407,517,5966,393
aSem-M,6170,467,5820,341
aSem-M,6126,463,5809,339
aSem-M,6085,459,5800,337
aSem-M,6043,455,5788,335
aSem-M,6001,452,5778,332
aSem-M,6703,567,6202,445
aSem-M,5880,419,5784,302
aSem-M,5797,413,5765,298
aSem-M,5755,409,5752,297
aSem-M,5715,406,5743,295
aSem-M,8258,879,9740,754
aSem-M,8240,875,9754,754
aSem-M,8207,870,9750,752
aSem-M,8170,865,9742,750
aSem-M,8136,860,9738,747
aSem-M,7164,750,6569,625
aSem-M,5839,416,5775,301
aSem-M,5550,408,5820,301
rGed-D,3957,159,4645,115
rGed-D,4039,198,3279,25
rGed-D,4208,221,4871,32
rGed-D,4175,211,4842,30
rGed-D,4148,209,4824,29
rGed-D,4123,208,4808,27
rGed-D,4097,207,4791,25
rGed-D,4072,206,4776,23
rGed-D,4229,274,1749,202
rGed-D,4233,272,1759,199
rGed-D,4233,222,4886,34
rGed-D,4223,270,1756,194
rGed-D,4214,266,1760,185
rGed-D,4016,284,2923,103
rGed-D,4000,283,2917,101
rGed-D,3987,281,2913,98
rGed-D,3986,279,2923,96
rGed-D,3973,278,2919,94
rGed-D,4016,284,2923,103
rGed-D,4000,283,2917,101
rGed-D,4225,268,1765,190
rGed-D,3987,281,2913,98
rGed-D,4260,223,4904,35
rGed-D,4313,226,4935,39
rGed-D,3936,158,4632,114
rGed-D,3913,157,4617,113
rGed-D,3890,157,4603,111
rGed-D,5069,285,6204,79
rGed-D,5053,284,6205,78
rGed-D,5026,283,6190,76
rGed-D,4997,282,6174,75
rGed-D,4969,281,6159,73
rGed-D,4285,224,4918,37
rGed-D,4733,267,5456,65
rGed-D,4676,264,5424,61
rGed-D,4647,262,5407,60
rGed-D,4620,261,5391,58
rGed-D,4522,246,5167,55
rGed-D,4494,245,5149,54
rGed-D,4467,244,5134,51
rGed-D,4440,242,5117,50
rGed-D,4414,241,5101,48
rGed-D,4704,266,5439,63
rGed-D,3969,159,4644,115
rGed-D,3986,279,2923,96
rGed-D,3894,249,2965,82
rGed-D,4743,259,3959,74
rGed-D,4475,248,3580,67
rGed-D,4457,246,3572,65
rGed-D,4442,245,3568,63
rGed-D,4438,244,3576,62
rGed-D,4422,242,3570,59
rGed-D,4228,226,3390,41
rGed-D,4210,225,3382,39
rGed-D,4758,260,3963,76
rGed-D,4195,223,3377,36
rGed-D,4162,220,3364,32
rGed-D,4130,212,3307,31
rGed-D,4114,210,3300,29
rGed-D,4099,209,3296,26
rGed-D,4082,208,3288,24
rGed-D,4066,206,3282,21
rGed-D,4055,200,3273,29
rGed-D,4053,199,3283,28
rGed-D,4178,222,3369,34
rGed-D,3909,251,2971,84
rGed-D,4776,262,3970,78
rGed-D,4808,265,3981,82
rGed-D,3881,248,2960,79
rGed-D,3863,246,2951,77
rGed-D,3851,244,2949,75
rGed-D,3893,229,3026,73
rGed-D,3877,227,3020,71
rGed-D,3864,226,3016,69
rGed-D,3847,224,3009,66
rGed-D,3833,223,3004,64
rGed-D,4791,263,3974,81
rGed-D,3784,194,3063,54
rGed-D,3757,192,3053,49
rGed-D,3740,190,3045,47
rGed-D,3726,189,3041,44
rGed-D,5759,262,4875,85
rGed-D,5747,260,4870,83
rGed-D,5736,259,4869,81
rGed-D,5737,259,4879,80
rGed-D,5725,257,4876,78
rGed-D,3770,193,3058,52
rGed-D,3973,278,2919,94
rGed-D,4006,195,3264,20
rGed-D,4022,197,3271,23
rGed-L,1856,78,4832,63
rGed-L,1864,69,3615,166
rGed-L,1879,70,3633,167
rGed-L,1886,71,3641,168
rGed-L,1901,71,3658,170
rGed-L,1907,71,3663,171
rGed-L,1350,42,4537,7
rGed-L,1369,43,4561,10
rGed-L,1390,44,4585,11
rGed-L,1769,62,5214,30
rGed-L,1431,45,4633,15
rGed-L,1494,48,4761,16
rGed-L,1514,49,4785,19
rGed-L,1535,50,4811,20
rGed-L,1555,50,4836,23
rGed-L,1577,51,4861,24
rGed-L,1643,55,4981,25
rGed-L,1663,56,5007,27
rGed-L,1685,56,5033,29
rGed-L,1850,77,4824,62
rGed-L,1409,44,4608,14
rGed-L,1835,77,4804,60
rGed-L,1807,76,4761,57
rGed-L,1361,45,4322,25
rGed-L,1376,46,4347,26
rGed-L,1390,46,4367,28
rGed-L,1406,46,4389,29
rGed-L,1449,51,4454,29
rGed-L,1463,51,4476,31
rGed-L,1470,52,4487,31
rGed-L,1484,52,4509,33
rGed-L,1500,52,4532,34
rGed-L,1623,59,4591,45
rGed-L,1636,60,4614,47
rGed-L,1652,60,4637,48
rGed-L,1666,60,4659,49
rGed-L,1673,60,4669,50
rGed-L,1696,66,4713,47
rGed-L,1710,66,4735,48
rGed-L,1715,67,4744,49
rGed-L,1730,67,4766,51
rGed-L,1745,68,4789,52
rGed-L,1821,77,4781,59
rGed-L,1705,57,5057,31
rGed-L,1727,58,5083,33
rGed-L,1790,63,5241,33
rGed-L,1871,68,4664,39
rGed-L,1891,68,4685,41
rGed-L,1901,69,4695,42
rGed-L,1921,70,4716,44
rGed-L,1941,70,4738,45
rGed-L,1907,72,4771,36
rGed-L,1926,72,4793,39
rGed-L,1937,73,4802,40
rGed-L,1702,59,4572,21
rGed-L,1956,74,4822,42
rGed-L,1912,76,4867,45
rGed-L,1932,77,4887,47
rGed-L,1943,77,4895,48
rGed-L,1963,78,4914,51
rGed-L,1985,79,4935,52
rGed-L,1901,68,3415,132
rGed-L,1918,69,3431,133
rGed-L,1936,70,3448,134
rGed-L,1978,74,4844,43
rGed-L,1682,58,4550,19
rGed-L,1662,58,4529,17
rGed-L,1652,57,4521,16
rGed-L,1813,64,5267,34
rGed-L,1834,65,5292,37
rGed-L,1857,65,5319,38
rGed-L,1942,71,5646,41
rGed-L,1963,72,5671,44
rGed-L,1987,73,5699,45
rGed-L,2008,74,5723,47
rGed-L,2021,74,5735,49
rGed-L,1611,62,5303,11
rGed-L,1632,62,5327,14
rGed-L,1654,63,5351,15
rGed-L,1674,64,5375,18
rGed-L,1688,64,5384,19
rGed-L,1522,51,4338,8
rGed-L,1540,52,4359,11
rGed-L,1559,52,4380,12
rGed-L,1578,53,4400,15
rGed-L,1589,53,4408,15
rGed-L,1634,57,4499,14
rGed-L,1347,45,4300,23
rGed-L,1954,71,3464,136
rGed-L,1963,71,3466,136
rGed-M,5734,507,3295,612
rGed-M,4492,432,5089,204
rGed-M,4513,435,5100,206
rGed-M,4927,474,4601,240
rGed-M,4943,477,4606,242
rGed-M,4953,479,4605,242
rGed-M,4971,481,4614,245
rGed-M,4982,484,4616,247
rGed-M,4705,347,5164,249
rGed-M,4471,429,5077,201
rGed-M,4736,349,5179,253
rGed-M,4799,355,5211,259
rGed-M,4833,358,5227,262
rGed-M,4817,369,5251,261
rGed-M,4845,372,5266,265
rGed-M,4863,375,5266,267
rGed-M,4892,378,5282,270
rGed-M,4922,381,5299,273
rGed-M,5010,407,5416,280
rGed-M,4768,352,5196,256
rGed-M,4461,427,5082,200
rGed-M,4440,424,5072,197
rGed-M,4579,395,5174,205
rGed-M,3975,266,4895,105
rGed-M,3997,268,4911,108
rGed-M,4008,270,4911,109
rGed-M,4030,272,4926,112
rGed-M,4054,273,4944,114
rGed-M,4195,300,4997,142
rGed-M,4216,302,5012,145
rGed-M,4240,304,5029,146
rGed-M,4261,306,5043,149
rGed-M,4273,308,5043,151
rGed-M,4424,339,5056,174
rGed-M,4447,341,5071,177
rGed-M,4471,344,5087,179
rGed-M,4493,346,5100,181
rGed-M,4516,348,5116,183
rGed-M,4486,384,5120,195
rGed-M,4509,387,5133,198
rGed-M,4533,390,5148,200
rGed-M,4555,393,5160,203
rGed-M,5039,410,5431,284
rGed-M,5072,414,5448,287
rGed-M,5103,417,5464,291
rGed-M,5122,420,5463,293
rGed-M,4577,382,5062,298
rGed-M,4602,385,5078,300
rGed-M,4844,442,5109,359
rGed-M,4867,445,5121,362
rGed-M,4892,448,5135,364
rGed-M,4916,451,5147,367
rGed-M,4927,454,5144,368
rGed-M,5168,515,5315,435
rGed-M,5192,519,5326,438
rGed-M,5218,522,5339,440
rGed-M,5241,525,5350,443
rGed-M,5251,528,5345,444
rGed-M,5326,568,5233,463
rGed-M,5350,571,5243,466
rGed-M,5360,574,5239,468
rGed-M,5383,577,5248,471
rGed-M,5393,580,5242,473
rGed-M,5670,498,3246,596
rGed-M,5698,502,3276,603
rGed-M,4553,380,5048,295
rGed-M,5798,514,3360,618
rGed-M,4541,377,5048,293
rGed-M,4487,354,5157,283
rGed-M,5343,461,5875,330
rGed-M,5373,465,5887,334
rGed-M,5406,468,5902,337
rGed-M,5438,472,5916,340
rGed-M,5471,475,5932,343
rGed-M,5683,479,6656,370
rGed-M,5715,482,6672,373
rGed-M,5748,485,6687,376
rGed-M,5779,488,6701,379
rGed-M,5813,491,6717,382
rGed-M,4860,317,6051,403
rGed-M,4889,319,6066,405
rGed-M,4920,321,6082,406
rGed-M,4949,322,6096,408
rGed-M,4980,324,6113,409
rGed-M,4383,344,5097,272
rGed-M,4409,347,5111,275
rGed-M,4436,349,5127,278
rGed-M,4461,352,5141,281
rGed-M,4517,375,5034,290
rGed-M,5754,511,3298,608
rTir-D,5454,276,4998,69
rTir-D,5316,311,5915,95
rTir-D,4799,242,5557,79
rTir-D,4704,230,5354,70
rTir-D,4671,229,5337,68
rTir-D,4642,227,5321,65
rTir-D,4610,226,5303,63
rTir-D,4580,224,5288,60
rTir-D,5997,302,6952,270
rTir-D,5963,301,6937,268
rTir-D,4829,243,5572,83
rTir-D,5930,299,6923,266
rTir-D,5874,297,6911,263
rTir-D,5682,340,6616,127
rTir-D,5646,338,6600,125
rTir-D,5612,337,6587,122
rTir-D,5575,335,6572,120
rTir-D,5540,333,6558,117
rTir-D,5408,317,5943,102
rTir-D,5386,315,5945,100
rTir-D,5907,299,6925,265
rTir-D,5352,313,5931,97
rTir-D,4862,245,5590,85
rTir-D,4914,248,5606,89
rTir-D,5684,220,7712,237
rTir-D,5655,219,7695,236
rTir-D,5628,218,7681,234
rTir-D,5291,270,7066,108
rTir-D,5257,268,7050,106
rTir-D,5225,267,7035,103
rTir-D,5189,265,7017,101
rTir-D,5157,264,7001,98
rTir-D,4893,246,5605,88
rTir-D,5145,266,6231,97
rTir-D,5081,263,6200,92
rTir-D,5048,261,6181,90
rTir-D,5016,259,6166,87
rTir-D,5010,256,5833,88
rTir-D,4977,254,5816,86
rTir-D,4946,252,5801,83
rTir-D,4913,251,5783,80
rTir-D,4882,249,5767,78
rTir-D,5112,264,6214,95
rTir-D,5282,309,5900,92
